Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
Loop min size          4096 floats
Loop max size          1000000000 floats
a[] = (float)k single thread
size=4096 rep=10000 Mcast/s=1511.165 MByte/s=6044.660 
size=8192 rep=10000 Mcast/s=1521.227 MByte/s=6084.909 
size=16384 rep=10000 Mcast/s=1525.437 MByte/s=6101.748 
size=32768 rep=10000 Mcast/s=1526.832 MByte/s=6107.328 
size=65536 rep=10000 Mcast/s=1529.085 MByte/s=6116.339 
size=131072 rep=7629 Mcast/s=1519.451 MByte/s=6077.803 
size=262144 rep=3814 Mcast/s=1524.644 MByte/s=6098.575 
size=524288 rep=1907 Mcast/s=1525.833 MByte/s=6103.333 
size=1048576 rep=953 Mcast/s=1525.646 MByte/s=6102.585 
size=2097152 rep=476 Mcast/s=1479.025 MByte/s=5916.101 
size=4194304 rep=238 Mcast/s=1291.686 MByte/s=5166.745 
size=8388608 rep=119 Mcast/s=1268.043 MByte/s=5072.170 
size=16777216 rep=59 Mcast/s=1272.858 MByte/s=5091.431 
size=33554432 rep=29 Mcast/s=1265.266 MByte/s=5061.064 
size=67108864 rep=14 Mcast/s=1235.018 MByte/s=4940.073 
size=134217728 rep=7 Mcast/s=1183.492 MByte/s=4733.969 
size=268435456 rep=3 Mcast/s=1060.405 MByte/s=4241.618 
size=536870912 rep=1 Mcast/s=803.679 MByte/s=3214.716 
a[] = (float)k*m single thread
size=4096 rep=10000 Mflop/s=1838.031 MByte/s=7352.123 
size=8192 rep=10000 Mflop/s=1854.022 MByte/s=7416.087 
size=16384 rep=10000 Mflop/s=1860.762 MByte/s=7443.046 
size=32768 rep=10000 Mflop/s=1865.355 MByte/s=7461.421 
size=65536 rep=10000 Mflop/s=1866.753 MByte/s=7467.012 
size=131072 rep=7629 Mflop/s=1866.713 MByte/s=7466.850 
size=262144 rep=3814 Mflop/s=1860.901 MByte/s=7443.606 
size=524288 rep=1907 Mflop/s=1860.422 MByte/s=7441.689 
size=1048576 rep=953 Mflop/s=1860.181 MByte/s=7440.724 
size=2097152 rep=476 Mflop/s=1747.043 MByte/s=6988.174 
