Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -mfma -mavx -funroll-all-loops
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
Loop min size          4096 floats
Loop max size          1000000000 floats
a[] = (float)k single thread
size=4096 rep=10000 Mcast/s=1122.365 MByte/s=4489.462 
size=8192 rep=10000 Mcast/s=1597.094 MByte/s=6388.375 
size=16384 rep=10000 Mcast/s=1639.713 MByte/s=6558.853 
size=32768 rep=10000 Mcast/s=1648.233 MByte/s=6592.933 
size=65536 rep=10000 Mcast/s=1640.886 MByte/s=6563.544 
size=131072 rep=7629 Mcast/s=1654.170 MByte/s=6616.680 
size=262144 rep=3814 Mcast/s=1665.969 MByte/s=6663.876 
size=524288 rep=1907 Mcast/s=1659.621 MByte/s=6638.484 
size=1048576 rep=953 Mcast/s=1622.017 MByte/s=6488.069 
size=2097152 rep=476 Mcast/s=1579.166 MByte/s=6316.666 
size=4194304 rep=238 Mcast/s=1573.444 MByte/s=6293.774 
size=8388608 rep=119 Mcast/s=1565.231 MByte/s=6260.922 
size=16777216 rep=59 Mcast/s=1568.795 MByte/s=6275.180 
size=33554432 rep=29 Mcast/s=1556.157 MByte/s=6224.628 
size=67108864 rep=14 Mcast/s=1520.787 MByte/s=6083.150 
size=134217728 rep=7 Mcast/s=1430.659 MByte/s=5722.634 
size=268435456 rep=3 Mcast/s=1286.248 MByte/s=5144.990 
size=536870912 rep=1 Mcast/s=948.008 MByte/s=3792.033 
a[] = (float)k*m single thread
size=4096 rep=10000 Mflop/s=2462.738 MByte/s=9850.952 
size=8192 rep=10000 Mflop/s=2481.206 MByte/s=9924.825 
size=16384 rep=10000 Mflop/s=2500.885 MByte/s=10003.540 
size=32768 rep=10000 Mflop/s=2505.864 MByte/s=10023.457 
size=65536 rep=10000 Mflop/s=2470.143 MByte/s=9880.573 
size=131072 rep=7629 Mflop/s=1310.436 MByte/s=5241.746 
size=262144 rep=3814 Mflop/s=1847.400 MByte/s=7389.598 
size=524288 rep=1907 Mflop/s=2440.501 MByte/s=9762.004 
size=1048576 rep=953 Mflop/s=2326.732 MByte/s=9306.927 
size=2097152 rep=476 Mflop/s=1911.616 MByte/s=7646.466 
size=4194304 rep=238 Mflop/s=1937.410 MByte/s=7749.641 
